City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sedro-Woolley,US,48.5039,-122.2361,48.99,86,1,0.0,clear sky
80,Agadir,MA,30.4202,-9.5982,64.85,56,35,3.71,scattered clouds
81,Shenjiamen,CN,29.9576,122.298,55.26,87,100,32.68,moderate rain
82,Biak,ID,-0.9131,122.8766,76.51,83,41,2.28,scattered clouds
83,Hofn,IS,64.2539,-15.2082,43.83,65,52,11.3,broken clouds
84,Lebu,CL,-37.6167,-73.65,59.74,78,1,17.67,clear sky
85,Marshall,US,34.3834,-86.3333,65.12,70,75,3.0,broken clouds
86,Kapit,MY,2.0167,112.9333,73.89,99,100,0.54,overcast clouds
87,Nauta,PE,-4.5061,-73.5757,78.96,88,100,3.78,overcast clouds
88,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,8.32,snow
89,Narsaq,GL,60.9167,-46.05,34.02,99,100,4.14,overcast clouds
90,Juba,SS,4.8517,31.5825,80.02,48,28,2.28,scattered clouds
91,Hithadhoo,MV,-0.6,73.0833,80.89,79,100,11.52,overcast clouds
92,Alugan,PH,12.2188,125.4808,80.17,82,7,1.14,clear sky
93,Sechura,PE,-5.5569,-80.8222,73.11,60,77,15.46,broken clouds
94,Iqaluit,CA,63.7506,-68.5145,6.64,95,87,4.47,overcast clouds
95,Castrovillari,IT,39.8203,16.2123,49.3,88,65,5.19,broken clouds
96,Khatanga,RU,71.9667,102.5,-35.82,95,16,5.06,few clouds
97,Camocim,BR,-2.9022,-40.8411,85.24,62,1,18.99,clear sky
98,Belaya Gora,RU,68.5333,146.4167,-17.32,100,100,1.36,overcast clouds
99,Oksfjord,NO,70.2396,22.3479,26.78,74,100,9.08,light snow
100,Klaksvik,FO,62.2266,-6.589,47.32,91,100,28.97,overcast clouds
101,Victoria,HK,22.2855,114.1577,75.18,88,18,1.99,few clouds
102,Hagere Selam,ET,6.4833,38.5167,50.85,73,97,5.32,overcast clouds
103,Xining,CN,36.6167,101.7667,22.87,57,2,1.28,clear sky
104,Calais,FR,50.9167,1.8333,47.01,69,85,22.59,overcast clouds
105,Joao Pinheiro,BR,-17.7425,-46.1725,76.26,78,89,4.21,overcast clouds
106,Rosarito,MX,32.3333,-117.0333,88.14,26,70,8.7,broken clouds
107,Taraza,CO,7.5836,-75.4007,82.67,86,70,2.75,broken clouds
108,Gat,IL,31.61,34.7642,59.68,62,50,4.7,scattered clouds
109,Bambous Virieux,MU,-20.3428,57.7575,75.22,73,24,9.04,light rain
110,Saldanha,ZA,-33.0117,17.9442,63.95,85,0,22.08,clear sky
111,Griffith,US,41.5284,-87.4237,56.14,52,1,5.01,clear sky
112,Bouar,CF,5.934,15.596,71.94,52,100,1.99,overcast clouds
113,Turochak,RU,52.2576,87.1224,15.6,95,100,3.65,overcast clouds
114,Port Macquarie,AU,-31.4333,152.9167,66.88,100,90,13.8,overcast clouds
115,Hobart,AU,-42.8794,147.3294,55.11,88,75,4.61,broken clouds
116,Saint-Philippe,RE,-21.3585,55.7679,74.79,76,7,6.15,clear sky
117,Zyryanka,RU,65.75,150.85,-9.92,99,100,4.5,overcast clouds
118,Burgeo,CA,47.6167,-57.6152,40.55,70,100,10.02,overcast clouds
119,Chokurdakh,RU,70.6333,147.9167,-15.54,100,94,0.38,overcast clouds
120,Sawakin,SD,19.1059,37.3321,79.93,62,96,11.65,overcast clouds
121,Pevek,RU,69.7008,170.3133,-18.51,98,26,4.21,scattered clouds
122,Udachnyy,RU,66.4167,112.4,-10.57,96,100,3.47,overcast clouds
123,Lufilufi,WS,-13.8745,-171.5986,83.98,80,37,14.85,scattered clouds
124,Laguna,US,38.421,-121.4238,72.95,67,1,1.99,clear sky
125,Baherden,TM,38.4362,57.4316,52.5,38,5,4.79,clear sky
126,Kadyy,RU,57.787,43.1903,27.3,87,100,7.87,overcast clouds
127,Alyangula,AU,-13.8483,136.4192,81.18,75,52,11.34,broken clouds
128,Longyearbyen,SJ,78.2186,15.6401,3.04,78,20,10.36,few clouds
129,Silifke,TR,36.3778,33.9344,64.56,61,92,6.06,overcast clouds
130,Durham,US,36.0335,-78.8664,66.11,62,90,1.99,overcast clouds
131,Minna,NG,9.6139,6.5569,81.28,25,99,2.8,overcast clouds
132,Alakurtti,RU,66.9672,30.3491,11.62,84,9,9.22,clear sky
133,Camacha,PT,33.0833,-16.3333,64.53,82,40,12.66,scattered clouds
134,Balabac,PH,7.9868,117.0645,81.1,81,38,4.56,scattered clouds
135,Chuy,UY,-33.6971,-53.4616,86.83,40,0,9.8,clear sky
136,Bredasdorp,ZA,-34.5322,20.0403,63.28,85,100,13.96,light rain
137,Tra Vinh,VN,9.9347,106.3453,78.08,88,91,8.99,overcast clouds
138,Biltine,TD,14.5333,20.9167,79.86,17,0,15.66,clear sky
139,Georgetown,MY,5.4112,100.3354,78.89,92,20,0.0,few clouds
140,Goderich,CA,43.7501,-81.7165,42.91,86,100,20.83,overcast clouds
141,Surt,LY,31.2089,16.5887,67.69,62,76,6.15,broken clouds
142,Shingu,JP,33.7333,135.9833,60.78,87,100,2.53,overcast clouds
143,Kavieng,PG,-2.5744,150.7967,82.63,71,93,12.24,overcast clouds
144,Ribeira Grande,PT,38.5167,-28.7,64.8,82,20,19.57,few clouds
145,Vagur,FO,61.4732,-6.8119,46.83,89,100,29.17,overcast clouds
146,Nanortalik,GL,60.1432,-45.2371,33.46,99,100,10.54,snow
147,Morondava,MG,-20.2833,44.2833,80.78,80,87,8.19,overcast clouds
148,Price,US,39.5994,-110.8107,48.11,33,1,0.0,clear sky
149,Husavik,IS,66.0449,-17.3389,39.83,82,39,10.74,scattered clouds
150,Sorland,NO,67.667,12.6934,35.46,53,100,10.04,light rain
151,Saint Anthony,US,45.0205,-93.218,33.78,43,1,7.0,clear sky
152,Sanmenxia,CN,34.7747,111.1814,31.75,28,0,9.44,clear sky
153,Pundaguitan,PH,6.3711,126.1689,82.78,74,90,6.71,overcast clouds
154,Paamiut,GL,61.994,-49.6678,21.78,89,26,5.21,scattered clouds
155,Tezu,IN,27.9167,96.1667,66.27,62,97,1.66,overcast clouds
156,Nikolskoye,RU,59.7035,30.7861,30.09,75,18,10.51,few clouds
157,Isiro,CD,2.7739,27.616,68.25,88,76,1.36,broken clouds
158,Poya,NC,-21.35,165.15,75.65,77,59,1.79,broken clouds
159,Pacific Grove,US,36.6177,-121.9166,75.31,52,1,3.0,clear sky
160,Neuquen,AR,-38.9516,-68.0591,87.69,19,0,8.05,clear sky
161,Kenora,CA,49.8167,-94.4337,17.58,72,100,15.01,overcast clouds
162,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,13.8,few clouds
163,Mackenzie,CA,55.2999,-123.1698,34.02,93,90,13.8,overcast clouds
164,Eydhafushi,MV,5.1033,73.0708,81.39,76,100,13.31,overcast clouds
165,Deogarh,IN,21.5333,84.7333,74.75,80,76,2.06,broken clouds
166,Misratah,LY,32.3754,15.0925,68.2,56,100,11.68,overcast clouds
167,Okhotsk,RU,59.3833,143.3,6.24,88,100,15.48,overcast clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,85.51,59,1,3.44,clear sky
169,Bethel,US,41.3712,-73.414,54.55,52,1,3.0,clear sky
170,Porto Nacional,BR,-10.7081,-48.4172,89.6,77,100,2.91,overcast clouds
171,Chapais,CA,49.7834,-74.8492,33.58,80,96,10.49,overcast clouds
172,Chippenham,GB,51.46,-2.1247,42.33,74,8,12.44,clear sky
173,Changji,CN,44.0167,87.3167,14.79,79,0,4.47,clear sky
174,Ixtapa,MX,20.7,-105.2,83.23,65,1,11.5,clear sky
175,Dikson,RU,73.5069,80.5464,-7.24,69,13,13.49,few clouds
176,Pimenta Bueno,BR,-11.6725,-61.1936,85.35,71,82,4.25,broken clouds
177,Fortuna,US,40.5982,-124.1573,64.92,60,1,4.0,clear sky
178,Leningradskiy,RU,69.3833,178.4167,-14.6,99,40,3.98,scattered clouds
179,Le Portel,FR,50.7056,1.5757,46.69,67,81,23.55,broken clouds
180,Samarai,PG,-10.6167,150.6667,81.34,81,98,11.63,overcast clouds
181,Tondano,ID,1.3038,124.9112,68.09,91,73,1.57,broken clouds
182,Puerto Escondido,MX,15.85,-97.0667,86.83,66,1,8.05,clear sky
183,Saryg-Sep,RU,51.5,95.6,-2.25,94,95,2.86,overcast clouds
184,Ancud,CL,-41.8697,-73.8203,62.13,97,100,9.89,light rain
185,Faya,SA,18.3851,42.4509,55.92,59,67,2.73,broken clouds
186,Tateyama,JP,34.9833,139.8667,56.1,85,100,23.89,light rain
187,Springdale,US,36.1867,-94.1288,59.04,53,1,11.01,clear sky
188,Kieta,PG,-6.2167,155.6333,80.06,81,7,0.92,clear sky
189,Foix,FR,42.8333,1.5833,46.0,41,100,4.34,overcast clouds
190,Puerto Vallarta,MX,20.6204,-105.2307,83.91,67,1,5.99,clear sky
191,Talnakh,RU,69.4865,88.3972,-21.08,84,2,8.93,clear sky
192,San Patricio,US,28.017,-97.5169,86.41,50,69,10.78,broken clouds
193,Marsa Matruh,EG,31.3525,27.2453,65.5,67,60,8.97,broken clouds
194,Mar Del Plata,AR,-38.0023,-57.5575,68.88,67,98,11.99,overcast clouds
195,Urumqi,CN,43.801,87.6005,11.35,79,0,4.47,clear sky
196,Muzhi,RU,65.3667,64.6667,15.89,96,100,7.27,light snow
197,Hami,CN,42.8,93.45,25.86,46,0,1.99,clear sky
198,Bheramara,BD,24.0232,88.9925,69.58,55,1,4.59,clear sky
199,Watertown,US,42.3709,-71.1828,56.34,64,1,5.01,clear sky
200,Gambela,ET,8.25,34.5833,78.55,55,60,1.81,broken clouds
201,Carutapera,BR,-1.195,-46.02,83.28,70,100,9.19,overcast clouds
202,Kollam,IN,8.8833,76.6,78.67,83,91,4.68,overcast clouds
203,Joplin,US,37.0842,-94.5133,61.79,40,20,4.0,few clouds
204,Ponta Do Sol,PT,32.6667,-17.1,68.0,85,64,7.0,broken clouds
205,San Lawrenz,MT,36.0553,14.204,63.86,71,100,13.13,overcast clouds
206,Upernavik,GL,72.7868,-56.1549,8.78,77,90,7.31,overcast clouds
207,Codrington,AU,-38.2667,141.9667,46.0,95,7,5.7,clear sky
208,Constitucion,CL,-35.3333,-72.4167,67.12,60,17,14.67,few clouds
209,Svetlyy,RU,54.675,20.1347,42.96,73,100,8.5,overcast clouds
210,Taltal,CL,-25.4,-70.4833,68.67,61,81,7.9,broken clouds
211,Mulchen,CL,-37.7167,-72.2333,82.26,23,44,7.9,scattered clouds
212,Kiunga,PG,-6.1219,141.2906,73.54,100,100,1.41,overcast clouds
213,Padang,ID,-0.9492,100.3543,78.78,81,100,3.42,overcast clouds
214,Airai,TL,-8.9266,125.4092,61.45,89,100,1.9,overcast clouds
215,Manzanillo,CU,20.3433,-77.1167,84.88,59,69,5.7,broken clouds
216,Saint-Georges,GD,12.0564,-61.7485,81.57,71,100,10.56,overcast clouds
217,Waingapu,ID,-9.6567,120.2641,80.29,79,20,1.7,few clouds
218,Kulunda,RU,52.566,78.9385,20.01,79,100,15.99,overcast clouds
219,Beri,IN,25.9031,79.8902,71.17,54,0,5.57,clear sky
220,Dandong,CN,40.1292,124.3947,30.15,78,4,4.09,clear sky
221,Brigantine,US,39.4101,-74.3646,55.27,76,90,5.75,overcast clouds
222,Lavrentiya,RU,65.5833,-171.0,0.27,89,6,8.84,clear sky
223,Ostrovnoy,RU,68.0531,39.5131,29.03,80,100,30.38,light snow
224,Torbay,CA,47.6666,-52.7314,32.27,74,11,1.01,few clouds
225,Formosa,AR,-26.1775,-58.1781,93.18,38,0,3.44,clear sky
226,Pitanga,BR,-24.7572,-51.7614,81.32,45,25,3.13,scattered clouds
227,Dekar,BW,-21.5333,21.9333,75.33,62,100,17.22,overcast clouds
228,Storslett,NO,69.7678,21.0247,28.4,59,75,12.66,light shower snow
229,Hervey Bay,AU,-25.2986,152.8535,77.04,80,85,3.0,overcast clouds
230,Kaitangata,NZ,-46.2817,169.8464,50.74,92,100,3.62,overcast clouds
231,Carlsbad,US,33.1581,-117.3506,89.15,31,1,3.0,clear sky
232,Luderitz,NA,-26.6481,15.1594,60.91,80,0,10.78,clear sky
233,Katsuura,JP,35.1333,140.3,60.82,87,95,23.2,overcast clouds
234,Sola,VU,-13.8833,167.55,81.1,74,94,8.55,overcast clouds
235,Deputatskiy,RU,69.3,139.9,-13.68,100,100,0.87,overcast clouds
236,Yulara,AU,-25.2406,130.9889,69.64,32,40,8.05,scattered clouds
237,Asyut,EG,27.181,31.1837,62.49,47,0,4.61,clear sky
238,Caravelas,BR,-17.7125,-39.2481,72.1,91,99,12.15,overcast clouds
239,Maragogi,BR,-9.0122,-35.2225,80.51,70,3,12.24,clear sky
240,Katobu,ID,-4.9408,122.5276,75.22,91,99,0.76,overcast clouds
241,Souillac,MU,-20.5167,57.5167,75.36,77,7,8.19,light rain
242,Mattru,SL,7.6244,-11.8332,77.11,88,64,3.87,broken clouds
243,Touros,BR,-5.1989,-35.4608,83.3,70,4,13.8,clear sky
244,Alamo,MX,20.9167,-97.6833,89.24,56,2,4.27,clear sky
245,Mahebourg,MU,-20.4081,57.7,75.25,74,7,8.25,light rain
246,Santiago,CL,-33.4569,-70.6483,92.17,20,0,10.36,clear sky
247,Auki,SB,-8.7676,160.7034,78.19,79,74,3.76,broken clouds
248,Flinders,AU,-34.5833,150.8552,64.06,83,100,3.0,overcast clouds
249,Svetlogorsk,BY,52.6333,29.7333,45.27,79,100,16.71,overcast clouds
250,Joaima,BR,-16.6542,-41.0306,70.12,91,100,4.09,overcast clouds
251,Luanda,AO,-8.8368,13.2343,78.44,82,98,8.48,overcast clouds
252,Magdalena,PH,14.1999,121.429,78.42,96,14,2.82,few clouds
253,San Jose,US,37.3394,-121.895,71.58,49,1,4.61,clear sky
254,Pervomayskoye,RU,43.919,46.7102,45.37,80,9,7.0,clear sky
255,Xichang,CN,27.8964,102.2634,42.1,94,100,5.35,overcast clouds
256,Elko,US,41.0002,-115.5012,44.74,49,98,1.99,overcast clouds
257,Sioux Lookout,CA,50.1001,-91.917,16.18,88,100,13.49,overcast clouds
258,Bengkulu,ID,-3.8004,102.2655,76.73,87,100,3.47,light rain
259,Horta,PT,38.5333,-28.6333,64.04,82,20,19.57,few clouds
260,Adrar,MR,20.5022,-10.0711,80.1,24,75,3.36,broken clouds
261,Esperance,AU,-33.8667,121.9,65.57,88,96,16.96,light rain
262,Honningsvag,NO,70.9821,25.9704,26.35,93,90,28.77,shower snow
263,Uvat,RU,59.1433,68.8953,22.42,93,100,11.72,light snow
264,Cap Malheureux,MU,-19.9842,57.6142,75.47,72,25,1.01,light rain
265,Port-Gentil,GA,-0.7193,8.7815,80.13,84,99,9.66,overcast clouds
266,Nome,US,64.5011,-165.4064,-5.73,77,1,3.44,clear sky
267,Zhizdra,RU,53.746,34.7395,42.94,92,100,15.08,light rain
268,Margate,GB,51.3813,1.3862,43.7,85,20,25.23,few clouds
269,Abu Samrah,SY,35.3029,37.1841,57.74,70,30,4.03,scattered clouds
270,Lagoa,PT,39.05,-27.9833,62.6,86,100,35.81,overcast clouds
271,Sicuani,PE,-14.2694,-71.2261,54.97,59,100,10.38,overcast clouds
272,San Borja,BO,-14.8167,-66.85,93.94,37,98,7.85,overcast clouds
273,Supaul,IN,26.1167,86.6,67.59,68,0,1.21,clear sky
274,Hecun,CN,36.5333,114.1111,33.53,19,0,14.0,clear sky
275,Fayaoue,NC,-20.65,166.5333,78.76,75,45,9.71,scattered clouds
276,Norman Wells,CA,65.282,-126.8329,-11.49,96,43,0.29,scattered clouds
277,Belmonte,BR,-15.8631,-38.8828,73.9,88,55,5.06,broken clouds
278,Kharhial,IN,20.2833,82.7667,75.4,83,14,1.07,few clouds
279,Pali,IN,25.7667,73.3333,73.45,56,0,7.52,clear sky
280,San Rafael,AR,-34.6177,-68.3301,89.94,20,0,1.19,clear sky
281,Pacasmayo,PE,-7.4006,-79.5714,69.35,71,98,13.65,overcast clouds
282,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,87,100,30.78,overcast clouds
283,Sitka,US,57.0531,-135.33,44.49,81,90,20.71,light rain
284,Qaanaaq,GL,77.484,-69.3632,-8.27,69,62,6.51,broken clouds
285,Acapulco,MX,16.8634,-99.8901,85.82,74,1,6.91,clear sky
286,Ibaiti,BR,-23.8486,-50.1878,79.68,43,1,0.98,clear sky
287,Yar,RU,58.249,52.1026,21.83,94,96,11.83,overcast clouds
288,College,US,64.8569,-147.8028,-17.34,73,20,0.0,fog
289,Santiago Del Estero,AR,-27.7951,-64.2615,97.02,17,68,13.35,broken clouds
290,Sabang,ID,5.8933,95.3214,80.78,78,43,6.29,scattered clouds
291,Ilulissat,GL,69.2167,-51.1,24.82,80,20,13.8,few clouds
292,Hamilton,US,39.1834,-84.5333,46.11,95,90,1.01,mist
293,Fairbanks,US,64.8378,-147.7164,-18.4,71,1,0.0,haze
294,Necochea,AR,-38.5473,-58.7368,76.03,50,77,13.96,broken clouds
295,Hailar,CN,49.2,119.7,10.78,93,100,11.95,overcast clouds
296,Kavaratti,IN,10.5669,72.642,81.0,73,4,9.98,clear sky
297,Faanui,PF,-16.4833,-151.75,79.29,69,14,11.05,few clouds
298,Noumea,NC,-22.2763,166.4572,77.0,99,54,3.58,broken clouds
299,Clyde River,CA,70.4692,-68.5914,-0.17,92,95,3.44,light snow
300,Grindavik,IS,63.8424,-22.4338,41.47,93,90,17.27,overcast clouds
301,Arman,RU,59.7,150.1667,10.56,77,100,10.2,overcast clouds
302,Batagay-Alyta,RU,67.8006,130.4114,-9.62,97,100,3.06,overcast clouds
303,Villazon,BO,-22.0866,-65.5942,51.48,71,100,16.33,overcast clouds
304,Mehamn,NO,71.0357,27.8492,28.31,84,100,13.27,light snow
305,Kupang,ID,-10.1667,123.5833,79.54,85,100,3.53,overcast clouds
306,Maceio,BR,-9.6658,-35.7353,83.64,69,0,8.05,clear sky
307,Sampit,ID,-2.5333,112.95,73.85,96,100,0.83,overcast clouds
308,Denpasar,ID,-8.65,115.2167,78.46,94,20,1.14,few clouds
309,Hambantota,LK,6.1241,81.1185,75.74,82,85,10.47,overcast clouds
310,Kodino,RU,63.7198,39.6447,27.73,95,100,6.96,overcast clouds
311,Jacareacanga,BR,-6.2222,-57.7528,81.82,86,93,3.06,overcast clouds
312,Cherskiy,RU,68.75,161.3,-29.69,100,63,4.83,broken clouds
313,Ekhabi,RU,53.5102,142.9671,24.58,85,90,12.12,overcast clouds
314,Mount Gambier,AU,-37.8333,140.7667,46.4,94,40,4.79,scattered clouds
315,Fort Frances,CA,48.5999,-93.4003,19.17,72,90,5.99,overcast clouds
