City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Aneho,TG,82.54,few clouds,6.2333,1.6,Hotel La Linette
323,Pandan,PH,79.52,few clouds,14.0453,124.1694,Bonifacio Lodge
324,Port Moresby,PG,77.07,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
333,Kudat,MY,78.8,broken clouds,6.8837,116.8477,Dream Garden Hotel
334,Mitsamiouli,KM,79.56,clear sky,-11.3847,43.2844,Foyer ADM
339,Port Blair,IN,81.01,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
340,Muana,BR,82.74,scattered clouds,-1.5283,-49.2167,Pousada Bella do Marajó
342,Karratha,AU,74.08,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
345,Tam Ky,VN,75.18,overcast clouds,15.5667,108.4833,Khách Sạn Đông Á
351,Yenagoa,NG,78.26,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
352,Voi,KE,72.63,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
354,Mackay,AU,76.05,scattered clouds,-21.15,149.2,International Lodge Motel
355,Mindelo,CV,78.35,overcast clouds,16.8901,-24.9804,Hotel Gaudi
362,Gamboma,CG,70.56,overcast clouds,-1.8764,15.8644,Residence N'Keni
364,Moratuwa,LK,77.16,broken clouds,6.773,79.8816,Sa Mansion By Yoho
367,Santa Rosalia,MX,75.15,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
368,Isla Vista,US,84.9,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
370,Alice Town,BS,77.76,few clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
373,Basco,PH,79.66,few clouds,20.4487,121.9702,Nathaniel's Lodge
376,Atascadero,US,81.75,clear sky,35.4894,-120.6707,Holiday Inn Express Hotel & Suites Atascadero
377,Sinnamary,GF,82.72,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
385,Grand Gaube,MU,75.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
386,Kudahuvadhoo,MV,81.52,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
392,Candido Mendes,BR,83.05,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
396,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
399,Soyo,AO,78.67,broken clouds,-6.1349,12.3689,Hotel Mpampa
402,Mozarlandia,BR,79.81,light rain,-14.7447,-50.5706,Hotel Santa Mônica
404,Vaitape,PF,79.48,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
405,Viedma,AR,83.16,broken clouds,-40.8135,-62.9967,Hotel Cristal
406,Takoradi,GH,80.47,scattered clouds,4.8845,-1.7554,Raybow International Hotel
407,Santa Maria Da Vitoria,BR,79.0,light rain,-13.3947,-44.1886,Pousada Rio Current
410,Dawei,MM,75.51,broken clouds,14.0833,98.2,Hotel Dawei
411,Namatanai,PG,79.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
414,Sao Filipe,CV,81.27,overcast clouds,14.8961,-24.4956,Hotel Xaguate
420,Cerete,CO,84.76,overcast clouds,8.8848,-75.7905,Hotel Porton De Don Pedro
421,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Muttom beach west
422,Tamiahua,MX,81.5,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
